product_id,category,description,sales,profit,monthly_demand,price,description
FUR-BO-10000112,Furniture,"Bush Birmingham Collection Bookcase, Dark Cherry",825.174,-117.882,11.0,825.174,"Bush Birmingham Collection Bookcase, Dark Cherry"
FUR-BO-10000330,Furniture,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",1064.624,24.196,8.0,354.87466666666666,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish"
FUR-BO-10000362,Furniture,Sauder Inglewood Library Bookcases,2154.348,311.1836,17.0,2154.348,Sauder Inglewood Library Bookcases
FUR-BO-10000468,Furniture,O'Sullivan 2-Shelf Heavy-Duty Bookcases,723.842,-133.1092,19.0,361.921,O'Sullivan 2-Shelf Heavy-Duty Bookcases
FUR-BO-10000711,Furniture,"Hon Metal Bookcases, Gray",851.76,229.9752,15.0,212.94,"Hon Metal Bookcases, Gray"
FUR-BO-10000780,Furniture,O'Sullivan Plantations 2-Door Library in Landvery Oak,2946.3668,-767.7436,12.0,1473.1834,O'Sullivan Plantations 2-Door Library in Landvery Oak
FUR-BO-10001337,Furniture,O'Sullivan Living Dimensions 2-Shelf Bookcases,2970.059,-78.637,17.0,742.51475,O'Sullivan Living Dimensions 2-Shelf Bookcases
FUR-BO-10001519,Furniture,O'Sullivan 3-Shelf Heavy-Duty Bookcases,1119.195,147.0942,9.0,1119.195,O'Sullivan 3-Shelf Heavy-Duty Bookcases
FUR-BO-10001567,Furniture,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",90.882,-190.8522,11.0,45.441,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled"
FUR-BO-10001601,Furniture,"Sauder Mission Library with Doors, Fruitwood Finish",935.1972,-125.74080000000001,14.0,935.1972,"Sauder Mission Library with Doors, Fruitwood Finish"
FUR-BO-10001608,Furniture,"Hon Metal Bookcases, Black",1570.0775999999998,-26.972399999999993,7.0,392.51939999999996,"Hon Metal Bookcases, Black"
FUR-BO-10001619,Furniture,O'Sullivan Cherrywood Estates Traditional Bookcase,424.90000000000003,27.193599999999996,11.0,141.63333333333335,O'Sullivan Cherrywood Estates Traditional Bookcase
FUR-BO-10001798,Furniture,Bush Somerset Collection Bookcase,1263.9569999999999,-56.3214,15.0,421.31899999999996,Bush Somerset Collection Bookcase
FUR-BO-10001811,Furniture,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",5492.885,15.049,15.0,2746.4425,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors"
FUR-BO-10001918,Furniture,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",1014.174,-418.548,12.0,1014.174,"Sauder Forest Hills Library with Doors, Woodland Oak Finish"
FUR-BO-10001972,Furniture,O'Sullivan 4-Shelf Bookcase in Odessa Pine,2740.197,-975.0988,9.0,2740.197,O'Sullivan 4-Shelf Bookcase in Odessa Pine
FUR-BO-10002202,Furniture,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",400.0268,-113.2606,8.0,200.0134,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors"
FUR-BO-10002206,Furniture,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",119.833,-12.6882,12.0,39.94433333333333,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order"
FUR-BO-10002213,Furniture,DMI Eclipse Executive Suite Bookcases,11046.609,90.17640000000002,12.0,2761.65225,DMI Eclipse Executive Suite Bookcases
FUR-BO-10002213,Furniture,"Sauder Forest Hills Library, Woodland Oak Finish",1875.034,-70.49,7.0,937.517,"Sauder Forest Hills Library, Woodland Oak Finish"
FUR-BO-10002268,Furniture,Sauder Barrister Bookcases,754.7336,-294.7672,10.0,188.6834,Sauder Barrister Bookcases
FUR-BO-10002545,Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",7539.7122,780.3302,9.0,2513.2374,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
FUR-BO-10002598,Furniture,"Hon Metal Bookcases, Putty",1320.228,362.70779999999996,6.0,1320.228,"Hon Metal Bookcases, Putty"
FUR-BO-10002613,Furniture,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5184.081,-126.44099999999996,12.0,1728.027,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors"
FUR-BO-10002824,Furniture,Bush Mission Pointe Library,748.8608,24.156800000000004,16.0,374.4304,Bush Mission Pointe Library
FUR-BO-10002853,Furniture,O'Sullivan 5-Shelf Heavy-Duty Bookcases,540.804,-12.290999999999997,18.0,540.804,O'Sullivan 5-Shelf Heavy-Duty Bookcases
FUR-BO-10002916,Furniture,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",2487.759,410.352,10.0,1243.8795,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases"
FUR-BO-10003034,Furniture,"O'Sullivan Elevations Bookcase, Cherry Finish",1912.308,-68.1096,6.0,956.154,"O'Sullivan Elevations Bookcase, Cherry Finish"
FUR-BO-10003159,Furniture,"Sauder Camden County Collection Libraries, Planked Cherry Finish",1909.8178,-78.18639999999999,16.0,636.6059333333334,"Sauder Camden County Collection Libraries, Planked Cherry Finish"
FUR-BO-10003272,Furniture,O'Sullivan Living Dimensions 5-Shelf Bookcases,3420.7704,-755.7516,9.0,1710.3852,O'Sullivan Living Dimensions 5-Shelf Bookcases
FUR-BO-10003404,Furniture,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",3447.84,206.87040000000002,5.0,1149.28,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish"
FUR-BO-10003433,Furniture,Sauder Cornerstone Collection Library,322.192,-81.16760000000001,16.0,322.192,Sauder Cornerstone Collection Library
FUR-BO-10003441,Furniture,"Bush Westfield Collection Bookcases, Fully Assembled",1473.2982000000002,73.71539999999999,14.0,491.09940000000006,"Bush Westfield Collection Bookcases, Fully Assembled"
FUR-BO-10003450,Furniture,"Bush Westfield Collection Bookcases, Dark Cherry Finish",649.376,-97.4064,10.0,649.376,"Bush Westfield Collection Bookcases, Dark Cherry Finish"
FUR-BO-10003546,Furniture,Hon 4-Shelf Metal Bookcases,1474.308,-191.86200000000002,17.0,491.436,Hon 4-Shelf Metal Bookcases
FUR-BO-10003660,Furniture,"Bush Cubix Collection Bookcases, Fully Assembled",729.2339999999999,48.6156,16.0,182.30849999999998,"Bush Cubix Collection Bookcases, Fully Assembled"
FUR-BO-10003893,Furniture,Sauder Camden County Collection Library,1368.2620000000002,-103.482,13.0,342.06550000000004,Sauder Camden County Collection Library
FUR-BO-10003894,Furniture,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",802.074,106.47,5.0,401.037,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black"
FUR-BO-10003965,Furniture,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,1646.9180000000001,-285.9484,15.0,548.9726666666667,O'Sullivan Manor Hill 2-Door Library in Brianna Oak
FUR-BO-10003966,Furniture,"Sauder Facets Collection Library, Sky Alder Finish",1427.683,-8.549,15.0,475.89433333333335,"Sauder Facets Collection Library, Sky Alder Finish"
FUR-BO-10004015,Furniture,"Bush Andora Bookcase, Maple/Graphite Gray Finish",3317.7235,135.58870000000002,19.0,3317.7235,"Bush Andora Bookcase, Maple/Graphite Gray Finish"
FUR-BO-10004218,Furniture,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",3626.0056,-208.6504,14.0,1813.0028,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order"
FUR-BO-10004357,Furniture,O'Sullivan Living Dimensions 3-Shelf Bookcases,2904.161,-170.83299999999997,16.0,968.0536666666667,O'Sullivan Living Dimensions 3-Shelf Bookcases
FUR-BO-10004360,Furniture,Rush Hierlooms Collection Rich Wood Bookcases,489.37919999999997,-70.8312,16.0,244.68959999999998,Rush Hierlooms Collection Rich Wood Bookcases
FUR-BO-10004409,Furniture,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",858.858,-9.93719999999999,19.0,214.7145,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray"
FUR-BO-10004467,Furniture,Bestar Classic Bookcase,1897.8102,-612.9386999999999,18.0,632.6034,Bestar Classic Bookcase
FUR-BO-10004690,Furniture,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,1072.344,-78.36359999999999,18.0,357.44800000000004,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase
FUR-BO-10004695,Furniture,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,4886.46,566.4674,19.0,2443.23,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine
FUR-BO-10004709,Furniture,"Bush Westfield Collection Bookcases, Medium Cherry Finish",1426.8878,-20.293,18.0,475.62926666666664,"Bush Westfield Collection Bookcases, Medium Cherry Finish"
FUR-BO-10004834,Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.9656,-669.5448000000001,7.0,7805.4828,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
FUR-CH-10000015,Furniture,Hon Multipurpose Stacking Arm Chairs,6584.64,814.416,16.0,2194.88,Hon Multipurpose Stacking Arm Chairs
FUR-CH-10000155,Furniture,Global Comet Stacking Armless Chair,3528.79,514.366,11.0,3528.79,Global Comet Stacking Armless Chair
FUR-CH-10000225,Furniture,"Global Geo Office Task Chair, Gray",1757.266,-166.00900000000001,8.0,878.633,"Global Geo Office Task Chair, Gray"
FUR-CH-10000229,Furniture,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,2032.35,-460.666,13.0,677.4499999999999,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs
FUR-CH-10000309,Furniture,Global Comet Stacking Arm Chair,6084.144,697.1415,7.0,1521.036,Global Comet Stacking Arm Chair
FUR-CH-10000422,Furniture,Global Highback Leather Tilter in Burgundy,2647.809,49.13459999999999,9.0,882.6030000000001,Global Highback Leather Tilter in Burgundy
FUR-CH-10000454,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",10637.528,1927.442,7.0,2659.382,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
FUR-CH-10000513,Furniture,High-Back Leather Manager's Chair,4770.633,-197.5848,11.0,1192.65825,High-Back Leather Manager's Chair
FUR-CH-10000553,Furniture,"Metal Folding Chairs, Beige, 4/Carton",685.588,115.7354,9.0,685.588,"Metal Folding Chairs, Beige, 4/Carton"
FUR-CH-10000595,Furniture,Safco Contoured Stacking Chairs,5697.76,870.16,13.0,2848.88,Safco Contoured Stacking Chairs
FUR-CH-10000665,Furniture,"Global Airflow Leather Mesh Back Chair, Black",3955.676,573.7239999999999,11.0,1318.5586666666666,"Global Airflow Leather Mesh Back Chair, Black"
FUR-CH-10000749,Furniture,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,2207.956,231.6544,6.0,2207.956,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms
